arm,opponent,seat_balanced_score,n
teacher,mega_lucario,0.55,80
teacher,mega_abomasnow,0.4375,80
teacher,iono,0.6875,80
teacher,dragapult,0.5625,80
teacher,control,0.975,80
H2,mega_lucario,0.5,80
H2,mega_abomasnow,0.5125,80
H2,iono,0.6875,80
H2,dragapult,0.575,80
H2,control,0.975,80
