games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
297,1,8252,-0.4993687191408041,-0.007563597751295829,0.05806061197343332,1.4954300342877467,0.004594816582669572,0.047202435661764706,0.18467599085883668,0.4122229495553882,0.0,0.0,0.01,0.0,0.0,22.3,13.3,8.36
540,2,8333,-0.5807555382501333,-0.006774138199510111,0.034490500194069226,1.4798452934024366,0.004187329792729173,0.0400343772814977,0.1900676720018477,0.617160158895889,0.0,0.0,0.009762400000000001,0.0,0.0,17.9,15.3,7.31
756,3,8327,-0.6302875462099203,-0.007569564867281836,0.026300228500286522,1.456827067286402,0.0038363867446687657,0.03968418096405229,0.1990921516130377,0.7531145858740436,0.0,0.0,0.009568,0.0,0.0,16.9,14.7,6.84
981,4,8330,-0.6784721336110783,-0.011142020734429652,0.025456058674663547,1.4164874859893357,0.004972665565029393,0.05239844749040921,0.22414745178085446,0.7744823970791923,0.0,0.0,0.0093952,0.0,0.0,16.6,13.4,7.49
1197,5,8423,-0.7083432780794019,-0.007949763620398738,0.02606601987756337,1.4052556763656274,0.004193314373371288,0.04780530820282659,0.2678196637654311,0.7508033500800586,0.0,0.0,0.0092152,0.0,0.0,18.3,14.8,6.53
1386,6,8271,-0.6545735972063924,-0.01046948828002523,0.030254444364947997,1.3692432227104128,0.0048724437353883905,0.05897223159437826,0.2871049479180088,0.7542393280840967,0.0,0.0,0.0090424,0.0,0.0,16.0,14.4,6.22
1593,7,8258,-0.7514885174078578,-0.008556099272329129,0.02078530159027634,1.370835144934505,0.005058449457427176,0.06091591466131908,0.2965629032994852,0.8090669620708953,0.0,0.0,0.0088912,0.0,0.0,16.7,14.3,6.68
1782,8,8268,-0.6983506847076838,-0.01199092067680995,0.027014096680319975,1.3553471703078555,0.006535507336257562,0.08327991969814241,0.32559825634783734,0.7716099149688314,0.0,0.0,0.0087256,0.0,0.0,16.0,13.5,6.41
1971,9,8429,-0.7223741962334798,-0.01179519977374919,0.024127306142672916,1.3557180986399784,0.006502644547588546,0.08718492588886821,0.30915170300268047,0.7638447266851015,0.0,0.0,0.0085744,0.0,0.0,15.8,14.1,6.32
2160,10,8565,-0.6122813510532289,-0.011026775292424275,0.029376878684805947,1.335866600333067,0.006275485669893712,0.08008251421798612,0.3292817763301128,0.7973876834516549,0.0,0.0,0.0084232,0.0,0.0,15.8,15.7,5.99
2367,11,8595,-0.6262834791536512,-0.013127009880723711,0.028707664224488273,1.342331431043776,0.006300531730645119,0.08100586650215298,0.3531933650253275,0.817831547120706,0.0,0.0,0.008272,0.0,0.0,16.9,14.9,6.52
2556,12,8504,-0.6013134238881748,-0.01433584379676107,0.029417950572836724,1.2969055847234903,0.007691389520704905,0.10332266921191553,0.3978062193848443,0.8370734576672467,0.0,0.0,0.0081064,0.0,0.0,16.9,15.2,5.89
2745,13,8270,-0.6896448410229873,-0.013079367672205633,0.022482275698838983,1.3154629462763014,0.008454644794557476,0.10894931891025642,0.43827719132755055,0.8234682189727538,0.0,0.0,0.0079552,0.0,0.0,16.7,13.7,6.23
2934,14,8257,-0.6298015554086642,-0.018540522031124055,0.02626705305600648,1.3076188331035647,0.007902910132751587,0.10434724971719457,0.45217670716122127,0.8572132036403403,0.0,0.0,0.007804,0.0,0.0,16.6,14.9,6.01
3123,15,8701,-0.6123555354216748,-0.017533219795219004,0.027537488567176967,1.2899466884002926,0.01022568453672099,0.13243431197994915,0.4410515369737619,0.8427261241847466,0.0,0.0,0.0076528,0.0,0.0,16.5,14.5,6.1
3303,16,8285,-0.552179933923697,-0.014715155946602146,0.03142076202149304,1.2630599775325202,0.011331457098798308,0.1455010179475016,0.5078761022670997,0.8448976377353576,0.0,0.0,0.007501600000000001,0.0,0.0,16.2,13.4,6.08
3483,17,8484,-0.5597002346110095,-0.019834505314513504,0.03374150976798501,1.2500085727520442,0.012727840332138661,0.15400689653001612,0.5029816295450903,0.8234009743744319,0.0,0.0,0.007357600000000001,0.0,0.0,16.2,14.3,5.89
