games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
133,1,8791,-0.20999173547428976,-0.010312010852925444,0.06579301411873047,0.6345772506435424,0.005156847112904718,0.05332523896471903,0.7009226751123684,-0.030576599007063665,0.5581606253242798,0.004398637918233464,0.01,0.5,0.05,22.6,47.7,1.89
266,2,8298,-0.29492164746644706,-0.012630396905716901,0.05334331980315503,0.596656693014874,0.0032654904639051498,0.03687309239733629,0.7431089215405273,0.0878942991266547,0.5462414793679657,0.01103251481554711,0.00997872,0.5,0.05,21.1,40.2,2.17
399,3,8623,-0.3483091507249972,-0.010773411917046397,0.04874215261115337,0.5891503327914561,0.002852495009751366,0.031193354843387477,0.6755375578441873,0.18438311151660147,0.5296674210996839,0.01713024991045591,0.00995744,0.5,0.05,19.5,47.1,2.0
532,4,8715,-0.3887497821959579,-0.023713582588680168,0.04935794001701061,0.5877444147322398,0.0027907840905238884,0.028579249526515152,0.9214611026972501,0.2752175906963098,0.524398582909772,0.02206930834544006,0.00993616,0.5,0.05,19.5,45.3,2.05
665,5,8492,-0.4029208958045633,-0.012828526508718371,0.0498142511495552,0.5935041554834578,0.003118802481701435,0.033884803921568625,0.7017722697716569,0.24704547483508033,0.5257791432610254,0.026681193934841002,0.009914880000000001,0.5,0.05,19.5,48.5,1.95
798,6,8322,-0.3814817835610976,-0.015154877619461398,0.050287217136675666,0.5649422983593663,0.002889472664034088,0.03188056773190045,0.7164403189752488,0.38748106336794985,0.5129544617150896,0.031134955069734332,0.0098936,0.5,0.05,19.2,46.1,2.04
931,7,8365,-0.43512148679890955,-0.015281438795733989,0.04979702255626797,0.5819538696354433,0.0029487147674051384,0.032944291110591634,0.7270852808275573,0.3160750515126063,0.5036909988562752,0.03336532920892127,0.00987232,0.5,0.05,20.1,43.3,2.1
1064,8,8734,-0.4353838149556864,-0.017554988545547982,0.04184692585769808,0.5717737280402643,0.003136626866800359,0.033722149884259256,0.8108534560848081,0.42230917844944293,0.5093780692101526,0.035964901707458294,0.00985104,0.5,0.05,22.7,44.4,1.98
1197,9,9381,-0.3431774769788313,-0.010899610008854468,0.054187073777478056,0.5571734420858924,0.0032588517292942167,0.03147225752591707,0.7621835286796743,0.3915643021791758,0.5028085312982689,0.041459151285642266,0.00982976,0.5,0.05,20.3,49.4,1.91
1330,10,8245,-0.4153154919583359,-0.012318069749421855,0.049693730982606425,0.5509667926663536,0.003386461197676732,0.032015208795782464,0.8168174060183612,0.3932032934128624,0.49264615249734073,0.04174511218223881,0.00980848,0.5,0.05,21.3,41.7,2.11
1463,11,8540,-0.3806372894731825,-0.011807399035163941,0.04642506818122395,0.5502604878334183,0.0028577044485438023,0.02941770727687627,0.7838241975169732,0.5231014582828715,0.49391920991191407,0.0456957121621196,0.0097872,0.5,0.05,20.1,39.7,2.22
1596,12,8829,-0.3640454767807728,-0.015172290218896196,0.04755522527683723,0.5560120924106321,0.0033010523058265733,0.033034071180555555,0.7841906362499691,0.540272898165079,0.48117274071247607,0.05067708629902281,0.00976592,0.5,0.05,21.2,41.8,2.11
1729,13,8838,-0.326861265194679,-0.00941285057975975,0.053728302894125446,0.5408882090509562,0.0030143380030650405,0.031197366034411273,0.758755979403182,0.5113895522955614,0.4928654189146763,0.0515683605466761,0.00974464,0.5,0.05,21.1,42.7,2.08
1862,14,8752,-0.3918978484746215,-0.01661223790030065,0.04922430594720633,0.5283685663831759,0.0031536388278542073,0.032000506365740734,0.7789950593453783,0.42800730137157417,0.48325838397878573,0.04894614642132275,0.00972336,0.5,0.05,23.2,39.4,2.12
1995,15,9157,-0.30798249682782924,-0.01219259914979927,0.051914667104381355,0.5329574561850274,0.003684287098567401,0.03461688904602036,0.7824507296173787,0.5359039849684206,0.4819141699426116,0.058400349667629,0.00970208,0.5,0.05,21.2,50.0,1.87
2128,16,8890,-0.3278880504482355,-0.012498212390192042,0.046907066217926875,0.5248826362166504,0.0035992692791310555,0.03643966547192354,0.7745769951247488,0.5932441395663605,0.4893699341234314,0.05245153221231655,0.0096808,0.5,0.05,21.9,49.7,1.86
2261,17,8509,-0.3386074244726864,-0.012431487445894163,0.0497922380415194,0.5343614008886749,0.003772759407738688,0.0346300950141492,0.7901276048938024,0.5688279836662902,0.473287286174162,0.05695514933947513,0.00965952,0.5,0.05,20.2,41.3,2.16
2394,18,8899,-0.32268447738971046,-0.011160412431355602,0.04944509219945355,0.544502713741651,0.003692840114329413,0.03447529936787749,0.7853895196709364,0.5819153488314482,0.4700102745163605,0.0589226347107061,0.00963824,0.5,0.05,21.5,42.9,2.07
2527,19,8902,-0.3506317006979863,-0.012702685357405492,0.051171777650782006,0.5318290508702848,0.004357979736216818,0.03892933238636363,0.7958915550395497,0.5472458439774202,0.47021869942061073,0.05976018001299269,0.00961696,0.5,0.05,21.3,43.8,2.04
2660,20,8467,-0.399514538868724,-0.012157855335225076,0.04688230609788608,0.5213659844035817,0.003783108451196309,0.03640186330213904,0.7769775957173752,0.5260222202956252,0.4683440122308697,0.06389260333471966,0.00959568,0.5,0.05,22.3,40.0,2.13
2793,21,8202,-0.37668361289366115,-0.0006185165052573061,0.050215860410527544,0.5171875230661355,0.0037901837936545994,0.033438648897058824,0.9275446324325348,0.5432013206339753,0.4654906149591102,0.06507866107342915,0.0095744,0.5,0.05,17.7,42.4,2.21
2926,22,8847,-0.41037132301652324,-0.011787035937510277,0.04663862316305059,0.5069589293252482,0.003932082362652287,0.035331151053807304,0.8218230609167541,0.550538132754216,0.46973359231489403,0.06646155528860141,0.00955312,0.5,0.05,20.8,41.5,2.13
