candidate_id,arm,seed,training_games,c008_validation_metric,phaseA_point,phaseA_ci95_lo,phaseA_ci95_hi,phaseA_n,advances,advance_reason,final_point,final_lb95,final_n,non_inferior
B0_v2a,B0,,0,,0.15,0.08,0.22,100,True,mandatory,0.16,0.13,400,False
R0_101,R0,101,2556,0.20500000000000002,0.01,0.0,0.03,100,False,no,0.01,0.0,100,False
R0_202,R0,202,10143,0.16625,0.03,0.0,0.07,100,False,no,0.03,0.0,100,False
R1_101,R1,101,10040,0.405,0.2,0.13,0.28,100,True,mandatory,0.22,0.1875,400,False
R1_202,R1,202,5130,0.3375,0.17,0.1,0.25,100,False,no,0.17,0.11,100,False
R2_101,R2,101,2534,0.305,0.16,0.09,0.24,100,False,no,0.16,0.1,100,False
R2_202,R2,202,20083,0.31125,0.12,0.06,0.19,100,False,no,0.12,0.07,100,False
R2_303,R2,303,5054,0.335,0.19,0.12,0.27,100,True,mandatory,0.1575,0.1275,400,False
