candidate_id,dragapult_games,dragapult_rate,iono_games,iono_rate,mega_abomasnow_games,mega_abomasnow_rate,safe_control_games,safe_control_rate,field_mean,invalid,errors,p99_ms
baseline_package,40,0.575,40,0.8,40,0.4,40,0.7,0.5917,0,0,1.219
distilled_policy,40,0.1,40,0.2,40,0.1,40,0.45,0.1333,0,0,4.635
