candidate,seat0_winrate,seat1_winrate,seat_balanced,seat0_games,seat1_games
det_cabt,0.6714285714285714,0.5285714285714286,0.6,140,140
det_starter,0.6428571428571429,0.5571428571428572,0.6000000000000001,140,140
random_cabt,0.16666666666666666,0.16666666666666666,0.16666666666666666,60,60
random_starter,0.36666666666666664,0.36666666666666664,0.36666666666666664,60,60
