row\col,det_cabt,det_starter,random_cabt,random_starter
det_cabt,,0.570,0.950,0.900
det_starter,0.580,,0.850,0.750
random_cabt,0.200,0.050,,0.250
random_starter,0.200,0.200,0.700,
