games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
133,1,8485,-0.2064581768547525,-0.011493693617058315,0.07443458500923611,0.6329773903354368,0.004001204380553576,0.04582991539725959,0.6635778096753142,-0.04683783125824048,0.5631006969525225,0.00370383137337811,0.01,0.5,0.05,19.6,37.8,2.32
266,2,8579,-0.2581796762282345,-0.010849337152446384,0.061620711849624754,0.6119753408817483,0.003483328883125052,0.03837123209264326,0.6744860207841018,0.060049013071166724,0.538773349973008,0.009813359270754891,0.00997872,0.5,0.05,18.6,38.0,2.35
399,3,8783,-0.2926853957530478,-0.01586060039206643,0.054474497414549676,0.6094601144335942,0.0034218246802149776,0.03627531370868495,0.7112109262956947,0.20210937778333637,0.5343264396162292,0.014320274944854324,0.00995744,0.5,0.05,17.8,37.9,2.39
532,4,8716,-0.32534893993313135,-0.024968043889695726,0.05414844587389519,0.6162404316395853,0.0031675697560317193,0.03033673321759259,0.8572464129107087,0.2542240421673323,0.5234817909843481,0.022807665802011004,0.00993616,0.5,0.05,19.0,42.9,2.15
665,5,8889,-0.30427882984756155,-0.011147615105366455,0.052503088555009465,0.5760130954891345,0.0029230938234235133,0.031511882976726725,0.7328493304757503,0.3765151527426335,0.5174776191907156,0.024926132225618278,0.009914880000000001,0.5,0.05,18.0,38.2,2.37
798,6,8557,-0.3756425322606411,-0.011709100135208731,0.05129067386588493,0.5658363104389228,0.002597370873927949,0.029220229401692183,0.7131349273035031,0.31478217692048094,0.5274874217074685,0.028699323519297246,0.0098936,0.5,0.05,17.4,38.6,2.37
931,7,8599,-0.3413890188365764,-0.01242182864565399,0.05513432320289712,0.5581344700559456,0.003258591525751844,0.03413600400617863,0.7064921297128676,0.36379361807027744,0.5075439673665816,0.034146831642607275,0.00987232,0.5,0.05,17.8,39.1,2.34
1064,8,8908,-0.39944942407214107,-0.012644779825555945,0.04691797870003871,0.5779950017688065,0.003041353654565663,0.028461265148420473,0.747348845273209,0.35376743495333085,0.5005905568421354,0.03730910014671297,0.00985104,0.5,0.05,17.9,41.8,2.23
1197,9,9045,-0.396812644010202,-0.012365615412407271,0.04782157576934514,0.5614371942034688,0.0030060342534639567,0.031129958226417398,0.735706194988326,0.35041044997585924,0.5017398863353878,0.04075822350639692,0.00982976,0.5,0.05,19.2,39.7,2.26
1330,10,8689,-0.4168023299111304,-0.011779162439632443,0.04649464137158575,0.5478540451156153,0.003391715959570815,0.03188859720824949,0.7447758499928838,0.42250140180386153,0.49227919813422766,0.04195470268452442,0.00980848,0.5,0.05,17.3,42.3,2.23
1463,11,9604,-0.3963150279099989,-0.012182199627426176,0.04670388005660619,0.5601024230289177,0.003104553924333608,0.03391898823250135,0.7593926077414231,0.40483057584715787,0.48479431629624264,0.04788256975576533,0.0097872,0.5,0.05,18.8,44.3,2.11
1596,12,8431,-0.44453486018753935,-0.011249495228612301,0.04535013752882409,0.5462136687345781,0.0029021416228714003,0.029526173701698254,0.7402519087606207,0.4087316156946378,0.48943502650886483,0.04437305817862944,0.00976592,0.5,0.05,18.5,36.0,2.44
1729,13,8855,-0.393810806024969,-0.012657477378216545,0.04492347434897254,0.5456978154501351,0.0030479706087847514,0.03168366848325975,0.7964434066507337,0.5279863426644836,0.48608287113721144,0.046410571378738164,0.00974464,0.5,0.05,16.9,37.8,2.43
1862,14,9032,-0.42048395595211435,-0.012268304114673714,0.05038472012719967,0.5492140291465849,0.0028040240126247073,0.028430142699864498,0.7822129336420007,0.44281614601188524,0.4782622335662118,0.04961078202531377,0.00972336,0.5,0.05,17.1,37.6,2.43
1995,15,8277,-0.4266466009049296,-0.014955449477668222,0.04452816048688037,0.5526130225649152,0.002790488982649943,0.030222075043252597,0.7673818089355801,0.5561752894478025,0.4818546053729694,0.051147195333168194,0.00970208,0.5,0.05,17.0,36.1,2.51
2128,16,9296,-0.41966245714280653,-0.01494739626887261,0.04345760639546313,0.5420721297464021,0.0036105559714418676,0.03741262335526316,0.8106707938670409,0.5306290628809034,0.46472382461534995,0.053067203546452606,0.0096808,0.5,0.05,18.1,39.8,2.3
2261,17,9102,-0.3793612996256959,-0.01073947182926122,0.044619445549429974,0.5225514965403012,0.003609975372239209,0.0349134725275684,0.7348031751470013,0.555821316456256,0.4723088789896137,0.05355469677281026,0.00965952,0.5,0.05,17.6,37.0,2.44
2394,18,8518,-0.451816675993654,-0.012348319570951246,0.039471785170235585,0.5490101008417636,0.003571458940022825,0.03233211301199928,0.7422301759501896,0.563612123409529,0.4705014744580607,0.05528447131658794,0.00963824,0.5,0.05,17.8,37.3,2.41
2534,19,8530,-0.4141781812141496,-0.01077236028445712,0.04749473364420862,0.5135605326201848,0.0036181182772499518,0.032515146406195614,0.7816929218730706,0.5339132820290375,0.47025594452704783,0.05411521665861153,0.00961696,0.5,0.05,18.9,35.6,2.57
2667,20,8517,-0.44313632581362206,-0.012693640943930481,0.044759557737107325,0.5210391600289185,0.0035755565893954037,0.0352810378959276,0.7731712577142291,0.5579605235868024,0.4627943106182288,0.057646378033725354,0.00959456,0.5,0.05,17.0,34.2,2.6
