games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
297,1,8254,-0.04565645637900313,-0.014177707415834798,0.22994119048998962,1.469548390268562,0.004941606031332669,0.05304754210151802,0.29607805280429755,0.3004194874228081,0.0,0.0,0.01,0.0,0.0,21.3,13.5,8.55
549,2,8326,-0.12758338626128202,-0.008191711015843466,0.13025660481150275,1.4469577285587412,0.004617456273145779,0.04513493538740123,0.28173178183331277,0.4208493485773579,0.0,0.0,0.009762400000000001,0.0,0.0,19.0,14.5,7.52
765,3,8474,-0.2281968238673458,-0.008331390777644766,0.07175049896214317,1.4227704569523525,0.004193202686110549,0.04654357171725073,0.27276455926196524,0.6407385347688765,0.0,0.0,0.0095608,0.0,0.0,17.3,14.8,6.73
981,4,8399,-0.29251342840234085,-0.008320030549923557,0.0524787883284218,1.3903619437368224,0.004878925287023813,0.05448158656578573,0.28566024015444014,0.7065887764582204,0.0,0.0,0.009388,0.0,0.0,16.9,16.8,6.4
1170,5,8278,-0.3511546270046866,-0.013378999417272055,0.04227908046941622,1.3945920101997409,0.004458612154540612,0.04966307925786594,0.27780877469253573,0.7787849841410721,0.0,0.0,0.0092152,0.0,0.0,15.6,14.9,6.2
1377,6,8361,-0.5581830014329877,-0.011278409963286332,0.029682260491287717,1.3915756175201173,0.004460282677153745,0.05314345713322311,0.2999219574842485,0.7938959552944473,0.0,0.0,0.009064000000000001,0.0,0.0,16.2,14.7,6.71
1575,7,8494,-0.5630869993224816,-0.011297832403578017,0.030802304767383066,1.3576679037648203,0.004697631346134876,0.05476815105181145,0.2940124241637419,0.7998093295902334,0.0,0.0,0.0088984,0.0,0.0,16.4,14.5,6.41
1764,8,8493,-0.6371349851349812,-0.012164004642281156,0.025704562257933397,1.3294484410526357,0.005119374188304985,0.06333256867427203,0.2983459815202387,0.8220001279674234,0.0,0.0,0.00874,0.0,0.0,15.0,12.9,6.76
1935,9,8325,-0.6109263122505199,-0.011670547508551012,0.028955920758000506,1.317380389497283,0.0067909357951864095,0.08715917493642193,0.34902271202704366,0.8230450605076974,0.0,0.0,0.0085888,0.0,0.0,14.6,14.7,5.84
2115,10,8491,-0.6618746468603005,-0.01541288521237482,0.02981845034582981,1.3215845690867098,0.008113112008048463,0.1114388840559217,0.35502493067947477,0.7876447419877439,0.0,0.0,0.008452,0.0,0.0,16.4,16.1,5.54
2295,11,8306,-0.6104797745118398,-0.018112285782682275,0.026012033604581482,1.3062979602382552,0.007514335541872476,0.09798731375773995,0.3995802923971372,0.8626786207336703,0.0,0.0,0.008308,0.0,0.0,15.9,12.9,6.25
2475,12,8324,-0.5645480766731484,-0.017743041748801657,0.03142380772525902,1.2962018869896799,0.008314465992405325,0.10524941510695186,0.4070206586010243,0.8371467950827104,0.0,0.0,0.008164,0.0,0.0,15.8,13.9,6.05
2646,13,8487,-0.6282983675233796,-0.014440698810884708,0.024274256768614638,1.2633313119579825,0.007723531767475602,0.1009968142447657,0.41570302474138365,0.8576645050602199,0.0,0.0,0.00802,0.0,0.0,16.4,13.9,5.64
2826,14,8517,-0.6811445356123074,-0.013984229225399323,0.029798029705437264,1.2786430459145122,0.009425300336141099,0.1216880832861991,0.42715099386466554,0.748425453576891,0.0,0.0,0.0078832,0.0,0.0,16.2,14.7,5.81
2997,15,8195,-0.571703702300726,0.007711392571400737,0.03270429701659193,1.2403939853564028,0.009621827515728832,0.12261603860294118,0.5534005488504706,0.8349830161836449,0.0,0.0,0.0077392,0.0,0.0,16.0,13.6,5.79
3159,16,8227,-0.6441588730726578,-0.023241973103836317,0.026451261615924274,1.285427288122631,0.010847435756048627,0.1382213432247899,0.49605159873550697,0.8130363194102068,0.0,0.0,0.0076024000000000005,0.0,0.0,15.6,12.6,5.74
3330,17,8261,-0.6067837287559079,-0.019278631919399783,0.02438798777109552,1.3083514405608634,0.012738729232880646,0.1592283907448849,0.540446969894754,0.8547737639334075,0.0,0.0,0.0074728,0.0,0.0,15.5,12.1,6.2
3492,18,8212,-0.6546339378523091,-0.014557396753600587,0.025081014759594004,1.2998564871886822,0.012304446125795601,0.14680606617647055,0.5777576012522448,0.8393574080616464,0.0,0.0,0.0073360000000000005,0.0,0.0,15.0,12.5,5.9
3663,19,8603,-0.615405599849909,-0.021153478254897634,0.02616074953488977,1.2883407688300752,0.009875303044084374,0.1292094078735509,0.5098834237627747,0.8639317011201252,0.0,0.0,0.0072064,0.0,0.0,16.1,13.2,5.83
3843,20,8217,-0.6701292966171117,-0.02648970109108605,0.024693327070178912,1.276118916414179,0.01202140668211192,0.1473196231617647,0.5699241056798603,0.8321847417185506,0.0,0.0,0.0070696000000000005,0.0,0.0,16.0,11.4,6.57
4032,21,8384,-0.6652589073403797,-0.019131195094893697,0.030875251935269084,1.2622588411810363,0.01304296073397482,0.16330614276960786,0.538975132330876,0.8136551185356837,0.0,0.0,0.0069256000000000005,0.0,0.0,17.1,12.8,6.3
4212,22,8319,-0.6634973956560988,-0.01982908763219842,0.02788862597939988,1.2447976395500113,0.012873748440588284,0.15816784390921723,0.5457083821634553,0.826002234538688,0.0,0.0,0.0067744,0.0,0.0,15.9,12.4,6.37
4383,23,8271,-0.6562547474869322,-0.022806638481494567,0.028113076413317176,1.2503982303889607,0.011299598888680682,0.14015526107594936,0.5843288707726155,0.8178102959015332,0.0,0.0,0.0066304,0.0,0.0,15.5,13.1,5.98
4581,24,8477,-0.6764538933729658,-0.022269704040502745,0.028895873591781904,1.2644491298558593,0.012546869889670109,0.15480541311919505,0.5594739205361732,0.814380476870097,0.0,0.0,0.0064936,0.0,0.0,17.4,12.7,6.57
4770,25,8482,-0.5739709725782457,-0.020018449424609817,0.03183722006521974,1.2558268252574227,0.013448117666482667,0.15413741601166328,0.5985762438213174,0.8397417236429511,0.0,0.0,0.0063352,0.0,0.0,16.5,14.0,6.2
4941,26,8490,-0.6242956575335091,-0.018222356372353123,0.027458061171328773,1.2715115940529262,0.013966356870570457,0.17271566108616265,0.6124311052581927,0.836673218859832,0.0,0.0,0.006184,0.0,0.0,16.2,13.5,5.77
